,Index,label_longname,Type
114,50,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_1.2,radi
115,51,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_0.8,radi
116,52,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_1.2,radi
117,53,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_0.8,radi
118,54,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_1.2,radi
119,55,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_1.2_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_0.8,radi
120,56,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_1.2,radi
121,57,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_0.8,radi
122,58,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_1.2,radi
123,59,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_1.2_EM_ROOF_0.8_EM_WALL_0.8,radi
124,60,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_1.2,radi
125,61,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_1.2_EM_WALL_0.8,radi
126,62,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_1.2,radi
127,63,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_1.2_ALB_ROOF_DIF_0.8_ALB_WALL_DIF_0.8_EM_IMPROAD_0.8_EM_PERROAD_0.8_EM_ROOF_0.8_EM_WALL_0.8,radi
128,64,ALB_IMPROAD_DIF_1.2_ALB_PERROAD_DIF_0.8_ALB_ROOF_DIF_1.2_ALB_WALL_DIF_1.2_EM_IMPROAD_1.2_EM_PERROAD_1.2_EM_ROOF_1.2_EM_WALL_1.2,radi
